user_id,item_id,ts,event
U0245,I043,2025.8.31 10:00,view
U0055,I032,2025.9.3 12:00,like
U0055,I008,2025.9.4 11:00,view
U0198,I084,2025.9.9 15:00,view
U0198,I090,2025.9.10 0:00,like
U0018,I042,2025.9.10 3:00,like
U0046,I019,2025.9.10 22:00,view
U0198,I057,2025.9.11 13:00,view
U0088,I033,2025.9.11 14:00,buy
U0198,I049,2025.9.11 16:00,buy
U0246,I083,2025.9.13 0:00,view
U0246,I042,2025.9.13 14:00,buy
U0245,I071,2025.9.15 19:00,like
U0198,I061,2025.9.15 23:00,buy
U0088,I005,2025.9.16 22:00,like
U0119,I064,2025.9.17 5:00,view
U0165,I064,2025.9.17 20:00,like
U0300,I066,2025.9.18 23:00,view
U0018,I032,2025.9.19 13:00,view
U0262,I026,2025.9.21 17:00,view
U0088,I049,2025.9.22 5:00,view
U0119,I042,2025.9.22 5:00,view
U0300,I042,2025.9.22 13:00,view
U0262,I001,2025.9.23 8:00,view
U0046,I010,2025.9.24 1:00,view
U0055,I022,2025.9.24 5:00,view
U0031,I010,2025.9.25 0:00,view
U0246,I063,2025.9.25 11:00,view
U0240,I007,2025.9.26 13:00,view
U0132,I049,2025.9.26 18:00,like
U0300,I074,2025.9.26 21:00,like
U0245,I041,2025.9.26 22:00,buy
U0262,I081,2025.9.27 5:00,view
U0052,I017,2025.9.27 17:00,like
U0132,I087,2025.9.28 10:00,view
U0197,I007,2025.9.29 3:00,view
U0127,I042,2025.9.30 6:00,view
U0256,I021,2025.9.30 12:00,buy
U0246,I080,2025.9.30 15:00,view
U0020,I015,2025.9.30 19:00,like
U0300,I067,2025.10.1 0:00,view
U0300,I081,2025.10.1 16:00,view
U0052,I008,2025.10.1 17:00,view
U0204,I096,2025.10.1 22:00,view
U0197,I066,2025.10.2 17:00,view
U0165,I043,2025.10.2 18:00,view
U0300,I079,2025.10.3 1:00,buy
U0020,I036,2025.10.3 5:00,view
U0079,I054,2025.10.3 8:00,view
U0240,I061,2025.10.3 18:00,buy
U0204,I012,2025.10.4 2:00,buy
U0132,I079,2025.10.4 9:00,buy
U0031,I020,2025.10.5 2:00,like
