user_id,persona,subcluster,risk_appetite,joined_at,is_newcomer
U0001,안정형,안정형-1,1.8,2025-11-15,False
U0002,성장형,성장형-3,3.6,2026-01-15,False
U0003,공격형,공격형-4,4.7,2026-01-30,False
U0004,안정형,안정형-2,1.8,2026-01-18,False
U0005,성장형,성장형-2,3.6,2026-05-10,False
U0006,공격형,공격형-4,4.7,2025-10-23,False
U0007,안정형,안정형-4,1.8,2026-05-19,False
U0008,성장형,성장형-1,3.6,2025-12-03,False
U0009,공격형,공격형-3,4.7,2026-08-11,True
U0010,안정형,안정형-1,1.8,2026-03-22,False
U0011,성장형,성장형-2,3.6,2026-06-05,False
U0012,공격형,공격형-4,4.7,2025-11-03,False
U0013,안정형,안정형-3,1.8,2026-04-27,False
U0014,성장형,성장형-1,3.6,2026-01-19,False
U0015,공격형,공격형-2,4.7,2026-08-21,True
U0016,안정형,안정형-1,1.8,2025-12-09,False
U0017,성장형,성장형-1,3.6,2026-04-20,False
U0018,공격형,공격형-4,4.7,2025-09-09,False
U0019,안정형,안정형-3,1.8,2025-11-26,False
U0020,성장형,성장형-2,3.6,2025-09-24,False
U0021,공격형,공격형-4,4.7,2026-03-29,False
U0022,안정형,안정형-4,1.8,2026-03-13,False
U0023,성장형,성장형-4,3.6,2025-11-12,False
U0024,공격형,공격형-2,4.7,2025-11-16,False
U0025,안정형,안정형-4,1.8,2025-10-18,False
U0026,성장형,성장형-3,3.6,2026-08-16,True
U0027,공격형,공격형-2,4.7,2026-03-31,False
U0028,안정형,안정형-4,1.8,2025-10-16,False
U0029,성장형,성장형-3,3.6,2025-10-15,False
U0030,공격형,공격형-3,4.7,2026-03-03,False
U0031,안정형,안정형-3,1.8,2025-09-18,False
U0032,성장형,성장형-4,3.6,2026-01-23,False
U0033,공격형,공격형-4,4.7,2025-12-05,False
U0034,안정형,안정형-2,1.8,2025-10-24,False
U0035,성장형,성장형-2,3.6,2026-02-18,False
U0036,공격형,공격형-1,4.7,2025-11-13,False
U0037,안정형,안정형-2,1.8,2025-12-25,False
U0038,성장형,성장형-2,3.6,2025-11-27,False
U0039,공격형,공격형-3,4.7,2026-05-12,False
U0040,안정형,안정형-4,1.8,2026-01-27,False
U0041,성장형,성장형-4,3.6,2026-04-09,False
U0042,공격형,공격형-3,4.7,2025-10-20,False
U0043,안정형,안정형-3,1.8,2026-01-03,False
U0044,성장형,성장형-1,3.6,2026-01-18,False
U0045,공격형,공격형-2,4.7,2025-11-23,False
U0046,안정형,안정형-4,1.8,2025-09-07,False
U0047,성장형,성장형-4,3.6,2025-12-30,False
U0048,공격형,공격형-2,4.7,2026-02-04,False
U0049,안정형,안정형-4,1.8,2026-05-01,False
U0050,성장형,성장형-2,3.6,2026-06-22,False
U0051,공격형,공격형-3,4.7,2026-03-20,False
U0052,안정형,안정형-2,1.8,2025-09-21,False
U0053,성장형,성장형-3,3.6,2026-06-09,False
U0054,공격형,공격형-4,4.7,2026-03-03,False
U0055,안정형,안정형-4,1.8,2025-09-02,False
U0056,성장형,성장형-2,3.6,2026-03-28,False
U0057,공격형,공격형-3,4.7,2025-12-05,False
U0058,안정형,안정형-1,1.8,2026-04-03,False
U0059,성장형,성장형-2,3.6,2026-04-14,False
U0060,공격형,공격형-2,4.7,2025-12-11,False
U0061,안정형,안정형-4,1.8,2026-04-15,False
U0062,성장형,성장형-3,3.6,2026-03-27,False
U0063,공격형,공격형-4,4.7,2025-10-23,False
U0064,안정형,안정형-3,1.8,2026-05-21,False
U0065,성장형,성장형-2,3.6,2025-10-10,False
U0066,공격형,공격형-1,4.7,2026-02-04,False
U0067,안정형,안정형-4,1.8,2025-12-17,False
U0068,성장형,성장형-2,3.6,2026-04-12,False
U0069,공격형,공격형-3,4.7,2026-02-27,False
U0070,안정형,안정형-2,1.8,2026-04-24,False
U0071,성장형,성장형-1,3.6,2026-01-03,False
U0072,공격형,공격형-1,4.7,2026-03-17,False
U0073,안정형,안정형-1,1.8,2026-03-17,False
U0074,성장형,성장형-3,3.6,2025-12-16,False
U0075,공격형,공격형-4,4.7,2025-11-11,False
U0076,안정형,안정형-1,1.8,2025-10-23,False
U0077,성장형,성장형-1,3.6,2026-03-24,False
